"T #","Band #","State","Lake","Year Collected","Sex","Age","Blood Hg ppm","PLAS","LEUC","LEUC Count","Year of Death","APIC","...14"
48,"0559-61794","ME","Aziscohos",2010,"M","ATY","5.0","N","N",NA,NA,NA,NA
38,"0938-44702","ME","Flagstaff",2010,"M","ATY","3.8","N","N",NA,NA,NA,NA
47,"0938-44727","ME","Watchic Lake",2010,"M","ATY","3.7","N","N",NA,NA,NA,NA
35,"0938-06399","ME","Chain of Ponds",2010,"M","ATY","3.3","N","N",NA,2020,NA,NA
36,"0938-03407","ME","Mooselookmeguntic",2010,"M","ATY","3.3","N","Y",NA,NA,NA,NA
52,"0938-44808","ME","Watchic Lake",2010,"M","ATY","3.2","N","N",NA,NA,NA,NA
8,"0938-15333","NH","Northwood Lake",2010,"M","ATY","3.2","N","Y",NA,2014,"N",NA
3,"0898-09819","NH","Swains Lake",2010,"M","ATY","3.0","N","N",NA,NA,"N",NA
31,"0938-26131","ME","Rangeley",2010,"M","ATY","2.9","N","Y",NA,NA,"N",NA
50,"0938-15317","ME","Watchic Lake",2010,"F","ATY","2.9","N","N",NA,NA,NA,NA
49,"0898-09143","ME","Aziscohos",2010,"M","ATY","2.6","N","N",NA,NA,NA,NA
6,"0898-09880","NH","Pleasant Lake",2010,"F","ATY","2.4","N","N",NA,NA,"N",NA
33,"0938-06392","ME","Highland Lake",2010,"F","ATY","2.3","N","Y",NA,NA,"N",NA
37,"0898-09977","ME","Gull Pond",2010,"M","ATY","2.2","N","N",NA,NA,NA,NA
40,"0669-21954","ME","Coffee Pond",2010,"M","ATY","2.2","N","N",NA,NA,NA,NA
44,"0898-09146","ME","Mooselookmeguntic",2010,"F","ATY","2.2","N","N",NA,NA,NA,NA
39,"0938-15197","ME","Coffee Pond",2010,"M","ATY","2.2","N","N",NA,2021,NA,NA
22,"0559-61876","NH","Winnipesaukee",2010,"M","ATY","2.2","N","Y",1,NA,"N",NA
11,"0898-09818","NH","Squam Lake",2010,"M","ATY","2.1","N","N",NA,NA,"N",NA
53,"0938-44896","ME","Notched Pond",2010,"M","ATY","2.1","N","Y",NA,NA,NA,NA
32,"0669-20564","ME","Little Sebago",2010,"F","ATY","2.0","N","N",NA,NA,NA,NA
4,"0669-21969","NH","Squam Lake",2010,"M","ATY","2.0","N","N",NA,2010,"Y",NA
1,"0669-21989","NH","Swains Lake",2010,"F","ATY","1.9","N","Y",NA,NA,"N",NA
51,"0938-15277","ME","Little Sebago",2010,"M","ATY","1.8","N","Y",NA,NA,NA,NA
42,"0938-26128","ME","Aziscohos",2010,"F","ATY","1.8","N","N",NA,NA,NA,NA
13,"0669-21976","NH","Squam Lake",2010,"M","ATY","1.8","N","N",NA,NA,"N",NA
30,"0938-03410","ME","Loon Lake",2010,"M","ATY","1.8","N","N",NA,NA,"N",NA
2,"0938-61755","NH","Northwood Lake",2010,"F","ATY","1.7","N","N",1,NA,"N",NA
28,"0938-66611","ME","Saddleback Lake",2010,"M","ATY","1.4","N","Y",NA,NA,"N",NA
34,"0938-06455","ME","Chain of Ponds",2010,"M","ATY","1.4","N","Y",NA,2020,NA,NA
24,"0938-03438","NH","Winnipesaukee",2010,"M","ATY","1.3","N","Y",0,2013,"N",NA
56,"0938-15212","ME","Echo Lake",2010,"M","ATY","1.3","N","N",NA,NA,NA,NA
17,"0669-21996","NH","Winnipesaukee",2010,"F","ATY","1.3","N","Y",26,2020,"N",NA
29,"0938-26160","ME","Saddleback Lake",2010,"M","ATY","1.2","N","N",NA,NA,"N",NA
10,"0669-21998","NH","Squam Lake",2010,"F","ATY","1.2","N","Y",NA,2018,"N",NA
20,"0669-21971","NH","Squam Lake",2010,"F","ATY","1.1","N","N",NA,NA,"N",NA
19,"0669-21984","NH","Winnipesaukee",2010,"M","ATY","1.0","N","N",NA,NA,"N",NA
45,"0938-44411","ME","Haley Pond",2010,"M","ATY","1.0","N","N",NA,NA,NA,NA
9,"0669-21973","NH","Winnipesaukee",2010,"M","ATY","1.0","N","N",NA,NA,"N",NA
18,"0898-09839","NH","Squam Lake",2010,"F","ATY","0.9","N","N",NA,2017,"N",NA
7,"0669-21970","NH","Winnipesaukee",2010,"F","ATY","0.9","N","N",NA,NA,"N",NA
21,"0669-21988","NH","Little Squam Lake",2010,"F","ATY","0.6","N","N",NA,NA,"N",NA
54,"0938-06393","ME","Kezar Lake",2010,"U","HY","0.4","N","N",NA,NA,NA,NA
