"T #","Band #","State","Lake","Year Collected","Sex","Age","Blood Hg ppm","PLAS","LEUC","LEUC Count","Year of Death","APIC","...14"
824,"0938-53098","ME","Flagstaff",2016,"M","ATY","5.0","N","N",NA,NA,NA,NA
1060,"0649-08895","NY","Dry Channel Pond",2016,"M","ATY","3.48","N","N",NA,NA,NA,NA
846,"1118-15295","NH","Sunapee Lake",2016,"M","ATY","3.5","N","Y",NA,NA,NA,NA
828,"0938-53079","ME","Long Pond",2016,"M","ATY","3.3","N","Y",NA,2015,NA,NA
829,"0938-53087","ME","Long Pond",2016,"M","ATY","3.3","N","Y",NA,NA,NA,NA
817,"0938-15105","ME","East Pond",2016,"M","ATY","3.2","N","N",NA,NA,NA,NA
847,"1118-15292","NH","Star Lake",2016,"M","ATY","3.2","N","N",NA,NA,NA,NA
1064,"0649-08808","NY","Lower Saranac Lake",2016,"M","ATY","3.05","N","Y",NA,NA,NA,NA
832,"1118-15278","NH","Swains Lake",2016,"M","ATY","3.0","Y","Y",2,NA,NA,NA
821,"0649-08833","ME","Flagstaff",2016,"M","ATY","2.9","N","Y",NA,NA,NA,NA
1063,"0649-08826","NY","Garnet Lake",2016,"M","ATY","2.7","N","N",NA,NA,NA,NA
831,"1118-15987","ME","Crescent Lake",2016,"M","ATY","2.7","N","Y",NA,NA,NA,NA
868,"1118-15294","NH","Northwood Lake",2016,"M","ATY","2.6","N","Y",NA,NA,NA,NA
1061,"0968-87770","NY","Limekiln Lake",2016,"F","ATY","2.53","N","Y",NA,NA,NA,NA
1058,"0649-08825","NY","Limekiln Lake",2016,"M","ATY","2.51","N","Y",NA,NA,NA,NA
815,"0938-53095","ME","Aziscohos",2016,"F","ATY","2.5","N","Y",NA,NA,NA,NA
827,"1118-15970","ME","Long Pond",2016,"F","ATY","2.3","Y","Y",NA,NA,NA,NA
859,"1118-16158","NH","Iona Lake",2016,"F","ATY","2.2","N","N",NA,NA,NA,NA
839,"1118-15221","NH","Ossipee",2016,"F","ATY","2.2","Y","Y",39,NA,NA,NA
858,"1118-15217","NH","Iona Lake",2016,"M","ATY","2.2","N","N",NA,NA,NA,NA
813,"0938-15335","ME","Little Sebago",2016,"M","ATY","2.1","N","N",NA,NA,NA,NA
1066,"0938-44725","NY","Garnet Lake",2016,"F","ATY","2.05","Y","Y",NA,NA,NA,NA
842,"0898-09848","NH","Broad Bay",2016,"F","ATY","2.0","Y","Y",25,NA,NA,NA
850,"1118-15274","NH","Winnipesaukee",2016,"M","ATY","2.0","N","N",NA,NA,NA,NA
837,"1118-15272","NH","Swains Lake",2016,"F","ATY","1.9","N","N",NA,NA,NA,NA
1068,"0968-87753","NY","Twitchell Lake",2016,"F","ATY","1.8","N","N",NA,2017,NA,NA
1057,"0968-87773","NY","Twitchell Lake",2016,"F","ATY","1.77","N","N",NA,NA,NA,NA
820,"1118-15971","ME","Mooselookmeguntic",2016,"M","ATY","1.7","N","Y",NA,NA,NA,NA
822,"0649-08897","ME","Flagstaff",2016,"M","ATY","1.7","N","Y",NA,NA,NA,NA
862,"1118-15222","NH","Pontook Reservoir",2016,"M","ATY","1.7","N","N",NA,NA,NA,NA
1070,"0968-87760","NY","Upper Saranac Lake",2016,"F","ATY","1.63","N","Y",NA,NA,NA,NA
826,"1118-15980","ME","Richardson",2016,"F","ATY","1.6","N","Y",NA,NA,NA,NA
818,"0938-78856","ME","East Richardson",2016,"M","ATY","1.5","N","N",NA,NA,NA,NA
834,"1118-15290","NH","Clark Pond",2016,"F","ATY","1.5","N","N",NA,NA,NA,NA
865,"1118-15300","NH","Cold Spring Pond",2016,"M","ATY","1.4","N","Y",NA,2016,NA,NA
1062,"0968-87759","NY","Little Green Pond",2016,"F","ATY","1.4","N","N",NA,NA,NA,NA
830,"1118-15982","ME","Mooselookmeguntic",2016,"U","ATY","1.4","N","Y",NA,NA,NA,NA
825,"0938-53077","ME","Richardson",2016,"F","ATY","1.3","N","Y",NA,NA,NA,NA
849,"1118-15268","NH","Winnipesaukee",2016,"M","ATY","1.3","N","N",NA,NA,NA,NA
1069,"0938-61800","NY","Clear Pond",2016,"M","ATY","1.3","N","N",NA,NA,NA,NA
840,"1118-15224","NH","Winnipesaukee",2016,"M","ATY","1.3","N","N",NA,2016,NA,NA
836,"1118-15279","NH","Chocorua Lake",2016,"F","ATY","1.3","Y","N",NA,NA,NA,NA
853,"1118-15287","NH","Squam Lake",2016,"F","ATY","1.3","N","Y",NA,NA,NA,NA
823,"1118-15273","NH","Clark Pond",2016,"M","ATY","1.3","N","Y",5,NA,NA,NA
854,"1118-15299","NH","Little Squam Lake",2016,"M","ATY","1.3","N","N",NA,2017,NA,NA
867,"1118-16182","NH","Bow Lake",2016,"F","ATY","1.2","N","Y",NA,NA,NA,NA
833,"1118-15271","NH","Nippo Pond",2016,"M","ATY","1.2","N","N",NA,NA,NA,NA
851,"1118-15281","NH","White Oak Pond",2016,"M","ATY","1.2","N","Y",NA,2020,NA,NA
816,"0938-53094","ME","Aziscohos",2016,"F","ATY","1.2","N","Y",NA,NA,NA,NA
856,"1118-15988","ME","Big Jim Pond",2016,"F","ATY","1.2","N","Y",NA,NA,NA,NA
841,"1118-15275","NH","Winnipesaukee",2016,"F","ATY","1.2","N","N",NA,NA,NA,NA
848,"1118-15297","NH","Squam Lake",2016,"F","ATY","1.1","N","N",NA,NA,NA,NA
838,"1118-15276","NH","Willard Pond",2016,"M","ATY","1.1","N","Y",NA,NA,NA,NA
845,"1118-15293","NH","Squam Lake",2016,"F","ATY","1.0","N","N",NA,NA,NA,NA
814,"0938-53083","ME","Arnold Pond",2016,"F","ATY","1.0","N","N",NA,NA,NA,NA
835,"1118-15277","NH","Nippo Pond",2016,"F","ATY","1.0","N","Y",NA,NA,NA,NA
857,"1118-15242","NH","Kanasatka Lake",2016,"F","ATY","0.9","N","N",NA,NA,NA,NA
863,"1118-15219","NH","Nay Pond",2016,"F","ATY","0.8","N","N",NA,NA,NA,NA
843,"1118-15280","NH","Conner Pond",2016,"M","ATY","0.8","N","N",NA,NA,NA,NA
864,"1118-15223","NH","Sunapee Lake, Little",2016,"M","ATY","0.8","N","N",NA,NA,NA,NA
852,"1118-15291","NH","Waukewan Lake",2016,"F","ATY","0.7","N","Y",NA,NA,NA,NA
855,"0669-21988","NH","Little Squam Lake",2016,"F","ATY","0.6","N","N",NA,NA,NA,NA
861,"1118-15225","NH","Pontook Reservoir",2016,"F","ATY","0.6","N","N",NA,NA,NA,NA
819,"0938-66609","ME","Saddleback",2016,"M","ATY","0.5","N","Y",NA,NA,NA,NA
866,"1118-15265","NH","Willard Pond",2016,"F","ATY","0.4","N","Y",NA,2020,NA,NA
844,"1118-15284","NH","Conner Pond",2016,"F","ATY","0.4","Y","Y",NA,NA,NA,NA
860,"1118-15237","NH","East Inlet",2016,"U","HY","0.2","N","Y",NA,NA,NA,NA
1059,"UnNY-16005","NY","Twitchell Lake",2016,"U","HY","0.2","N","N",NA,NA,NA,NA
1067,"UnNY-16003","NY","Garnet Lake",2016,"U","HY","0.18","N","N",NA,NA,NA,NA
1065,"UnNY-16004","NY","Oliver Pond",2016,"U","HY","0.09","N","N",NA,NA,NA,NA
